ID,Время начала,Время выполнения,Укажите ваш возраст:,Укажите ваш пол:,"Укажите ВУЗ, где вы учитесь:","0 - вуз мегаполисный, 1 - вуз региональный",Укажите профиль вашего образования:,"0 - гуманитарный, 1 - технический",Следите ли вы за политическими новостями?,"Считаете ли вы информацию, предоставляемую СМИ, достоверной?","Как вы думаете, оказывает ли владелец СМИ влияние на публикуемые материалы?",Как вы считаете СМИ в первую очередь действуют в интересах владельца или целевой аудитории?,Баллы — Как вы считаете СМИ в первую очередь действуют в интересах владельца или целевой аудитории?,"Сравниваете ли вы информацию в разных СМИ, если она вызывает у вас сомнения?",Доверяете ли вы экспертным мнениям в СМИ?,В поисках информации о политических событиях вы отдаёте предпочтение информации в СМИ или мнениям политиков в их личных микроблогах?,"Реагируете ли вы в социальных сетях и блогах на политические новости? ( комментируете, репостите, лайкаете и т.п.)",Слышали ли вы о медиаграмотности?,Слышали ли вы о фактчекинге?,Слышали ли вы о фейкньюз?,Пытаетесь ли вы найти первоисточник интересующей вас новости?,"Согласны ли вы, что СМИ при подаче новостей используют манипулятивные приёмы?","Как вы считаете политические ток-шоу на телевидении и на видеохостингах (60 минут, Навальный LIVE, Вечер с Владимиром Соловьёвым и т.д. и т.п.) носят серьёзный характер или это больше развлекатель...","Как вы считаете, подача информации в СМИ носит агрессивный характер?","Как вы считаете должны ли детей в школе учить разбираться в том, как отличать правдивую и ложную информацию в СМИ?"
290,2/10/21 18:36:58,2/10/21 18:42:17,25,Женский,Пгниу ,0,гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Скорее не пытаюсь,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Скорее да, должны"
291,2/10/21 19:18:41,2/10/21 19:22:54,22,Женский,ПГНИУ,0,гуманитарный,0,Затрудняюсь ответить ,Скорее не считаю,Скорее всего оказывает,Затрудняюсь ответить,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не пытаюсь,Скорее согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Скорее да, должны"
292,2/10/21 19:27:47,2/10/21 19:30:02,21,Женский,ПГНИУ,0,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Доверяю,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
293,2/10/21 19:28:44,2/10/21 19:32:57,20,Женский,ПГНИУ,0,скорее социо-гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,Исключительно в интересах целевой аудитории,,Скорее да,Скорее доверяю,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Затрудняюсь ответить,Затрудняюсь ответить,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Да, должны"
294,2/10/21 19:48:35,2/10/21 19:52:21,21,Женский,ПГНИУ,0,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
295,2/10/21 20:05:52,2/10/21 20:08:54,29,Мужской,ПГНИУ,0,гуманитарный,0,Постоянно не слежу,Безусловно не считаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Скорее не доверяю,"Скорее политикам, чем СМИ",Никогда,Слышал,Затрудняюсь ответить,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
296,2/10/21 20:33:54,2/10/21 20:37:04,21,Мужской,ПГНИУ,0,гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Скорее не доверяю,"Скорее политикам, чем СМИ",Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Скорее да, должны"
297,2/10/21 21:26:25,2/10/21 21:29:06,18,Женский,ПГНИУ,0,скорее социо-гуманитарный,0,Постоянно слежу,Скорее cчитаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Не доверяю,"Скорее СМИ, чем политикам",Скорее редко,Слышал,Слышал,Слышал,Мне всё равно,Скорее согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Да, должны"
298,2/10/21 22:08:25,2/10/21 22:10:59,22,Женский,ПГНИУ,0,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Скорее не доверяю,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Скорее да, должны"
299,2/10/21 22:45:17,2/10/21 22:48:02,21,Женский,ПГНИУ,0,гуманитарный,0,Скорее слежу,Скорее cчитаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,"Скорее СМИ, чем политикам",Скорее редко,Слышал,Слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Скорее да, должны"
300,2/11/21 7:04:47,2/11/21 7:17:36,20,Женский,ДВФУ,1,гуманитарный,0,Постоянно слежу,Скорее cчитаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Скорее доверяю,"Скорее СМИ, чем политикам",Скорее часто,Слышал,Слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Да, должны"
301,2/11/21 8:27:46,2/11/21 8:29:44,18,Женский,ДВФУ,1,скорее социо-гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,Затрудняюсь ответить,,Всегда,Скорее доверяю,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Скорее неагрессивный,"Да, должны"
302,2/11/21 8:58:26,2/11/21 9:03:48,21,Женский,Двфу,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Скорее не доверяю,Политикам,Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Да, должны"
303,2/11/21 9:10:55,2/11/21 9:12:48,19,Женский,ПГНИУ,0,скорее социо-гуманитарный,0,Скорее не слежу,Скорее не считаю,Скорее всего оказывает,Затрудняюсь ответить,,Нет,Не доверяю,Затрудняюсь ответить,Никогда,Слышал,Не слышал,Не слышал,Скорее не пытаюсь,Полностью согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Да, должны"
304,2/11/21 9:51:12,2/11/21 9:55:05,19,Женский,ПГНИУ,0,скорее социо-гуманитарный,0,Скорее не слежу,Безусловно не считаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее редко,Затрудняюсь ответить,Не слышал,Не слышал,Скорее не пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
305,2/11/21 10:03:07,2/11/21 10:04:40,21,Женский,Двфу,1,гуманитарный,0,Затрудняюсь ответить ,Затрудняюсь ответить,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,"Скорее СМИ, чем политикам",Никогда,Слышал,Не слышал,Не слышал,Скорее не пытаюсь,Скорее согласен,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Скорее да, должны"
306,2/11/21 14:19:16,2/11/21 14:21:55,18,Женский,Пгниу,0,гуманитарный,0,Постоянно слежу,Скорее не считаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее не доверяю,"Скорее СМИ, чем политикам",Всегда,Слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Да, должны"
307,2/11/21 14:21:28,2/11/21 14:36:55,22,Женский,ДВФУ ,1,скорее социо-гуманитарный,0,Скорее не слежу,Скорее cчитаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Скорее доверяю,"Скорее политикам, чем СМИ",Никогда,Затрудняюсь ответить,Не слышал,Слышал,Скорее пытаюсь ,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Да, должны"
308,2/11/21 15:37:47,2/11/21 15:40:40,21,Женский,СПБГУ,0,скорее социо-гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее редко,Затрудняюсь ответить,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,Затрудняюсь ответить,Иногда скорее агрессивный,Затрудняюсь ответить
309,2/11/21 16:27:46,2/11/21 16:31:39,29,Женский,СПбГУ,0,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Скорее доверяю,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Да, должны"
310,2/12/21 0:11:05,2/12/21 0:13:33,21,Мужской,ДВФУ,1,гуманитарный,0,Скорее слежу,Скорее cчитаю,Скорее всего оказывает,Затрудняюсь ответить,,Скорее нет,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Никогда,Затрудняюсь ответить,Не слышал,Не слышал,Скорее пытаюсь ,Скорее согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Скорее да, должны"
311,2/12/21 1:28:25,2/12/21 1:31:19,22,Женский,ПГНИУ,0,скорее социо-гуманитарный,0,Скорее слежу,Скорее cчитаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Нет,Не доверяю,"Скорее политикам, чем СМИ",Никогда,Слышал,Не слышал,Слышал,Мне всё равно,Затрудняюсь ответить,Затрудняюсь ответить,Иногда скорее агрессивный,"Скорее да, должны"
312,2/12/21 7:43:06,2/12/21 7:45:19,29,Женский,ПГНИУ,0,гуманитарный,0,Постоянно слежу,Скорее не считаю,Безусловно оказывает,Затрудняюсь ответить,,Всегда,Скорее доверяю,Политикам,Скорее часто,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
313,2/12/21 9:53:46,2/12/21 9:56:39,26,Женский,ЛЭТИ,0, технический,1,Постоянно не слежу,Затрудняюсь ответить,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Скорее да, должны"
314,2/12/21 10:00:27,2/12/21 10:02:30,20,Женский,Сгу,1,гуманитарный,0,Скорее не слежу,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,,Нет,Доверяю,Затрудняюсь ответить,Никогда,Затрудняюсь ответить,Не слышал,Не слышал,Мне всё равно,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить
315,2/12/21 10:01:08,2/12/21 10:03:11,18,Женский,Сгу ,1,гуманитарный,0,Скорее не слежу,Скорее не считаю,Скорее всего оказывает,Затрудняюсь ответить,,Нет,Скорее не доверяю,Затрудняюсь ответить,Никогда,Не слышал,Слышал,Не слышал,Мне всё равно,Скорее согласен,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Да, должны"
316,2/12/21 10:00:40,2/12/21 10:03:18,18,Мужской,СГУ ,1,гуманитарный,0,Постоянно слежу,Скорее не считаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Всегда,Затрудняюсь ответить,Политикам,Скорее часто,Не слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Да, должны"
317,2/12/21 10:00:31,2/12/21 10:03:20,18,Женский,СГУ им.Чернышевского ,1,гуманитарный,0,Скорее не слежу,Затрудняюсь ответить,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Скорее не доверяю,"Скорее политикам, чем СМИ",Никогда,Не слышал,Слышал,Слышал,Мне всё равно,Затрудняюсь ответить,"Серьёзный характер, там обсуждаются важные вопросы",Скорее неагрессивный,"Да, должны"
318,2/12/21 10:01:30,2/12/21 10:03:22,18,Женский,СГУ,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Нет,Не доверяю,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Не слышал,Слышал,Мне всё равно,Скорее согласен,"Скорее серьёзный, чем развлекательный",Неагрессивный,"Да, должны"
319,2/12/21 10:00:36,2/12/21 10:03:42,18,Женский,Саратовский Государственный университет(СГУ),1,гуманитарный,0,Скорее не слежу,Скорее cчитаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Нет,Скорее не доверяю,"Скорее политикам, чем СМИ",Скорее редко,Не слышал,Слышал,Слышал,Скорее не пытаюсь,Затрудняюсь ответить,Затрудняюсь ответить,Скорее неагрессивный,"Да, должны"
320,2/12/21 10:01:20,2/12/21 10:03:51,18,Мужской,СГУ им. Чернышевского ,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Скорее да, должны"
321,2/12/21 10:01:21,2/12/21 10:03:54,17,Мужской,СГУ Им. ЧЕРНЫШЕВСКОГО,1,гуманитарный,0,Постоянно слежу,Безусловно не считаю,Безусловно оказывает,Скорее в интересах владельца,,Нет,Не доверяю,Политикам,Скорее часто,Не слышал,Не слышал,Не слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Да, должны"
322,2/12/21 10:02:25,2/12/21 10:04:33,19,Женский,ЯрГУ,1,скорее социо-гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,Затрудняюсь ответить,,Всегда,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее часто,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Да, должны"
323,2/12/21 10:00:41,2/12/21 10:04:38,18,Женский,СГУ,1,скорее социо-гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Нет,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее часто,Не слышал,Слышал,Не слышал,Мне всё равно,Полностью согласен,"Скорее развлекательный, чем серьёзный",Скорее неагрессивный,"Скорее да, должны"
324,2/12/21 10:00:28,2/12/21 10:06:13,18,Женский,СГУ им. Чернышевского ,1,гуманитарный,0,Скорее слежу,Скорее cчитаю,Скорее всего не оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее доверяю,"Скорее СМИ, чем политикам",Всегда,Слышал,Слышал,Слышал,Скорее не пытаюсь,Скорее согласен,Затрудняюсь ответить,Скорее неагрессивный,"Да, должны"
325,2/12/21 10:02:16,2/12/21 10:07:38,18,Мужской,ЯРГУ,1,скорее социо-гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Скорее не доверяю,"Скорее политикам, чем СМИ",Скорее часто,Затрудняюсь ответить,Затрудняюсь ответить,Слышал,Затрудняюсь ответить,Скорее согласен,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Да, должны"
326,2/12/21 10:00:41,2/12/21 10:12:05,18,Женский,Саратовский Государственный Университет им  Н.Г. Чернышевского ,1,скорее социо-гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Слышал,Не слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Скорее да, должны"
327,2/12/21 10:09:36,2/12/21 10:12:22,19,Женский,ЯрГУ им.Демидова,1,скорее социо-гуманитарный,0,Скорее слежу,Скорее cчитаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,"Скорее СМИ, чем политикам",Скорее часто,Затрудняюсь ответить,Затрудняюсь ответить,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
328,2/12/21 10:10:37,2/12/21 10:13:35,18,Женский,ЯрГУ,1,скорее социо-гуманитарный,0,Постоянно слежу,Скорее cчитаю,Безусловно оказывает,Затрудняюсь ответить,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Скорее редко,Слышал,Не слышал,Слышал,Затрудняюсь ответить,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Да, должны"
329,2/12/21 10:13:19,2/12/21 10:17:15,18,Женский,ЯрГУ им. Демидова ,1,скорее социо-гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,Только в интересах владельца,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Скорее редко,Слышал,Не слышал,Слышал,Мне всё равно,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
330,2/12/21 10:17:05,2/12/21 10:20:05,19,Мужской,ЯрГУ,1,гуманитарный,0,Постоянно слежу,Безусловно не считаю,Скорее всего не оказывает,Скорее в интересах владельца,,Всегда,Скорее не доверяю,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Иногда скорее агрессивный,"Да, должны"
331,2/12/21 10:17:37,2/12/21 10:20:18,19,Мужской,ЯрГУ,1,скорее социо-гуманитарный,0,Затрудняюсь ответить ,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Не доверяю,Затрудняюсь ответить,Скорее часто,Слышал,Слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Скорее да, должны"
332,2/12/21 11:05:15,2/12/21 11:07:43,25,Женский,ПГНИУ,0,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Скорее доверяю,"Скорее СМИ, чем политикам",Скорее часто,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
333,2/12/21 11:07:28,2/12/21 11:10:35,20,Женский,Сыктывкарский государственный университет имени Питирима Сорокина ,1,гуманитарный,0,Постоянно не слежу,Затрудняюсь ответить,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Скорее не доверяю,"Скорее СМИ, чем политикам",Никогда,Слышал,Слышал,Слышал,Всегда пытаюсь,Скорее согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
334,2/12/21 11:27:55,2/12/21 11:29:40,20,Мужской,КФУ,0,скорее технический,1,Скорее не слежу,Безусловно не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Не слышал,Не слышал,Не слышал,Скорее не пытаюсь,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
335,2/12/21 11:27:13,2/12/21 11:31:04,20,Мужской,КФУ,0, технический,1,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,Затрудняюсь ответить,,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
336,2/12/21 11:29:33,2/12/21 11:31:35,18,Мужской,КФУ,0, технический,1,Скорее слежу,Скорее cчитаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее нет,Скорее доверяю,Затрудняюсь ответить,Скорее часто,Затрудняюсь ответить,Слышал,Слышал,Скорее не пытаюсь,Скорее согласен,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Скорее да, должны"
337,2/12/21 11:29:34,2/12/21 11:32:55,20,Женский,Казанский (Приволжский) Федеральный Университет,0, технический,1,Постоянно не слежу,Скорее не считаю,Затрудняюсь ответить,Скорее в интересах владельца,,Нет,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Не слышал,Не слышал,Не слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Скорее да, должны"
338,2/12/21 11:31:49,2/12/21 11:33:39,21,Женский,КФУ,0, технический,1,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Не слышал,Не слышал,Слышал,Скорее не пытаюсь,Скорее согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Да, должны"
339,2/12/21 11:32:55,2/12/21 11:34:42,18,Мужской,КФУ,0, технический,1,Скорее не слежу,Затрудняюсь ответить,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Скорее редко,Не слышал,Слышал,Слышал,Скорее пытаюсь ,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить
340,2/12/21 11:29:54,2/12/21 11:35:21,19,Мужской,КФУ,0, технический,1,Скорее слежу,Скорее cчитаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Доверяю,"Скорее СМИ, чем политикам",Всегда,Слышал,Затрудняюсь ответить,Слышал,Всегда пытаюсь,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Скорее неагрессивный,Не должны
341,2/12/21 11:27:37,2/12/21 11:35:39,19,Мужской,Кфу,0, технический,1,Скорее слежу,Безусловно не считаю,Безусловно оказывает,Только в интересах владельца,,Всегда,Не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Всегда пытаюсь,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,Не должны
342,2/12/21 11:32:59,2/12/21 11:36:01,18,Женский,КФУ,0, технический,1,Скорее слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Да, должны"
343,2/12/21 11:35:33,2/12/21 11:37:04,18,Мужской,КФУ,0, технический,1,Постоянно не слежу,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Не слышал,Слышал,Слышал,Мне всё равно,Скорее согласен,Затрудняюсь ответить,Иногда скорее агрессивный,Затрудняюсь ответить
344,2/12/21 11:33:01,2/12/21 11:37:27,19,Мужской,КФУ,0, технический,1,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Затрудняюсь ответить,,Всегда,Скорее не доверяю,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Да, должны"
345,2/12/21 11:36:18,2/12/21 11:39:08,21,Женский,КФУ,0, технический,1,Постоянно слежу,Безусловно не считаю,Безусловно оказывает,Только в интересах владельца,,Всегда,Скорее не доверяю,Политикам,Затрудняюсь ответить,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,Затрудняюсь ответить,Всегда,"Да, должны"
346,2/12/21 11:39:46,2/12/21 11:41:41,21,Мужской,КФУ,0, технический,1,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Не слышал,Не слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Да, должны"
347,2/12/21 11:38:25,2/12/21 11:41:57,18,Мужской,Казанский (Приволжский) Федеральный Университет,0, технический,1,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Скорее да, должны"
348,2/12/21 11:38:08,2/12/21 11:42:09,18,Женский,КФУ,0, технический,1,Скорее слежу,Безусловно не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Скорее не доверяю,"Скорее политикам, чем СМИ",Скорее редко,Затрудняюсь ответить,Затрудняюсь ответить,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Да, должны"
349,2/12/21 11:36:22,2/12/21 11:43:13,21,Мужской,кфу,0, технический,1,Затрудняюсь ответить ,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить
350,2/12/21 11:34:01,2/12/21 11:44:31,20,Женский,КФУ,0, технический,1,Скорее слежу,Безусловно считаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Слышал,Не слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
351,2/12/21 11:42:31,2/12/21 11:44:59,18,Мужской,КФУ,0, технический,1,Постоянно слежу,Безусловно не считаю,Безусловно оказывает,Только в интересах владельца,,Всегда,Не доверяю,Политикам,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Слышал,Скорее пытаюсь ,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Иногда скорее агрессивный,"Скорее да, должны"
352,2/12/21 11:43:05,2/12/21 11:46:08,19,Женский,КФУ ,0, технический,1,Скорее слежу,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее нет,Скорее доверяю,"Скорее политикам, чем СМИ",Никогда,Слышал,Слышал,Слышал,Затрудняюсь ответить,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
